experiment,hypothesis,oof_roc_auc,mean_fold_auc,fold_auc_std,fold_scores,n_features,feature_set,configuration,folds,oof_rows
hgb_more_regularized,Stronger L2 regularization may improve temporal robustness without reducing useful capacity.,0.5590132020966085,0.5712380203060652,0.0288711468414589,"[0.551726708, 0.535469194, 0.561540806, 0.591427281, 0.616026112]",28.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week","{""l2_regularization"": 5.0, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""random_state"": 42}",5,11982
extra_trees_robust,Fewer candidate features and larger leaves may lower variance under changing date blocks.,0.5444596215746353,0.5446412216350532,0.0051739716706689,"[0.545226861, 0.539976178, 0.541524282, 0.554409293, 0.542069495]",28.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week","{""class_weight"": ""balanced"", ""max_features"": 0.6, ""min_samples_leaf"": 10, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",5,11982
lightgbm_diverse,A regularized boosting family may add ranking diversity to the two sklearn tree baselines.,0.5697753839558446,0.573776277352175,0.0192665307774394,"[0.560782019, 0.561125044, 0.560534886, 0.575961932, 0.610477504]",28.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week","{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 350, ""n_jobs"": -1, ""num_leaves"": 15, ""random_state"": 42, ""reg_lambda"": 2.0, ""subsample"": 0.8, ""verbosity"": -1}",5,11982
xgboost_diverse,A shallow regularized boosting family may add complementary OOF ranking errors.,0.574200483453167,0.580408935935482,0.0230823756390663,"[0.566858233, 0.558793871, 0.565889365, 0.588399107, 0.622104103]",28.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week","{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 350, ""n_jobs"": -1, ""random_state"": 42, ""reg_lambda"": 3.0, ""subsample"": 0.8}",5,11982
xgboost_enriched,"The strongest first-pass model family may benefit from the complementary recency, velocity, gap, and sequence features.",0.5777373655572284,0.5834902214043601,0.0226940142529921,"[0.577934808, 0.55559415, 0.569970801, 0.591481639, 0.622469709]",60.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week,transaction_count_14d,amount_sum_14d,transaction_count_60d,amount_sum_60d,transaction_count_180d,amount_sum_180d,count_rate_ratio_7d_vs_30d,count_rate_ratio_30d_vs_90d,amount_rate_ratio_7d_vs_30d,amount_rate_ratio_30d_vs_90d,gap_mean_days,gap_median_days,gap_std_days,gap_min_days,gap_q25_days,gap_q75_days,gap_max_days,gap_cv,gap_short_share,gap_long_share,last_direction_kirim,last_direction_chiqim,last_type_karta,last_type_bank_otkazmasi,last_type_naqd,last_type_xalqaro,last_amount,last_amount_to_mean_ratio,direction_switch_rate,type_switch_rate,direction_transition_count,type_transition_count","{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 350, ""n_jobs"": -1, ""random_state"": 42, ""reg_lambda"": 3.0, ""subsample"": 0.8}",5,11982
xgboost_shallow,A shallower tree with slower learning and stronger regularization may be more stable across forward periods.,0.5782054924653626,0.5846214970551414,0.0248769352922164,"[0.570862248, 0.556754927, 0.568971298, 0.602231198, 0.624287813]",28.0,"transaction_count,active_days,amount_sum,amount_mean,amount_std,amount_median,amount_min,amount_max,amount_q75,amount_q90,incoming_count,outgoing_count,type_karta_count,type_bank_otkazmasi_count,type_naqd_count,type_xalqaro_count,transaction_count_7d,amount_sum_7d,transaction_count_30d,amount_sum_30d,transaction_count_90d,amount_sum_90d,incoming_share,outgoing_share,days_since_last_transaction,history_span_days,signal_month,signal_day_of_week","{""colsample_bytree"": 0.8, ""eval_metric"": ""logloss"", ""learning_rate"": 0.025, ""max_depth"": 2, ""min_child_weight"": 15, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42, ""reg_lambda"": 5.0, ""subsample"": 0.8}",5,11982
forward_blend_hgb_lightgbm_diverse,A blend weight selected on prior chronological OOF folds may exploit diversity without using later-fold labels.,0.5658972137986463,,,"[0.5, 0.75, 0.75, 0.75, 0.75]",,OOF blend only,"{""candidate_weight_grid"": [0.25, 0.5, 0.75], ""weights_by_fold"": [0.5, 0.75, 0.75, 0.75, 0.75]}",5,11982
forward_blend_hgb_xgboost_diverse,A blend weight selected on prior chronological OOF folds may exploit diversity without using later-fold labels.,0.5701411959968957,,,"[0.5, 0.75, 0.75, 0.75, 0.75]",,OOF blend only,"{""candidate_weight_grid"": [0.25, 0.5, 0.75], ""weights_by_fold"": [0.5, 0.75, 0.75, 0.75, 0.75]}",5,11982
forward_blend_hgb_xgboost_enriched,A blend weight selected on prior chronological OOF folds may exploit diversity without using later-fold labels.,0.573356675695968,,,"[0.5, 0.75, 0.75, 0.75, 0.75]",,OOF blend only,"{""candidate_weight_grid"": [0.25, 0.5, 0.75], ""weights_by_fold"": [0.5, 0.75, 0.75, 0.75, 0.75]}",5,11982
forward_blend_hgb_xgboost_shallow,A blend weight selected on prior chronological OOF folds may exploit diversity without using later-fold labels.,0.5730571820447696,,,"[0.5, 0.75, 0.75, 0.75, 0.75]",,OOF blend only,"{""candidate_weight_grid"": [0.25, 0.5, 0.75], ""weights_by_fold"": [0.5, 0.75, 0.75, 0.75, 0.75]}",5,11982
forward_blend_hgb_hgb_smoother,A blend weight selected on prior chronological OOF folds may exploit diversity without using later-fold labels.,0.5592013015773514,,,"[0.5, 0.75, 0.75, 0.75, 0.75]",,OOF blend only,"{""candidate_weight_grid"": [0.25, 0.5, 0.75], ""weights_by_fold"": [0.5, 0.75, 0.75, 0.75, 0.75]}",5,11982
forward_blend_hgb_hgb_more_regularized,A blend weight selected on prior chronological OOF folds may exploit diversity without using later-fold labels.,0.5571085961660075,,,"[0.5, 0.75, 0.75, 0.75, 0.75]",,OOF blend only,"{""candidate_weight_grid"": [0.25, 0.5, 0.75], ""weights_by_fold"": [0.5, 0.75, 0.75, 0.75, 0.75]}",5,11982
